title: 2013 California Efficiency Standards,,,,
,,,,
# For opaque envelope: see Table 140.3-B,,,,
table:   Opaque Envelope Requirements | Climate Zone 1,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Metal Buildings,0,,0.065,
Roofs | Wood Framed and Other,0,,0.049,
Walls Above Grade | Metal Building,0,,0.113,
Walls Above Grade | Metal Framed,0,,0.098,
Walls Above Grade | Mass Light,0,,0.196,
Walls Above Grade | Mass Heavy,0,,0.253,
Walls Above Grade | Wood Framed and Other,0,,0.102,
Floors | Mass,,,0.092,
Floors | Other,,,0.048,
Slab-On-Grade Floors | Unheated Slabs,,,0.73,
Slab-On-Grade Floors | Heated Slabs,,,0.2,16
Opaque Doors | Non-Swinging,,,0.5,
Opaque Doors | Swinging,,,0.7,
,,,,
table:   Opaque Envelope Requirements | Climate Zone 2,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Metal Buildings,0,,0.065,
Roofs | Wood Framed and Other,0,,0.039,
Walls Above Grade | Metal Building,0,,0.061,
Walls Above Grade | Metal Framed,0,,0.062,
Walls Above Grade | Mass Light,0,,0.17,
Walls Above Grade | Mass Heavy,0,,0.65,
Walls Above Grade | Wood Framed and Other,0,,0.059,
Floors | Mass,,,0.092,
Floors | Other,,,0.039,
Slab-On-Grade Floors | Unheated Slabs,,,0.73,
Slab-On-Grade Floors | Heated Slabs,,,0.2,16
Opaque Doors | Non-Swinging,,,1.45,
Opaque Doors | Swinging,,,0.7,
,,,,
table:   Opaque Envelope Requirements | Climate Zone 3,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Metal Buildings,0,,0.065,
Roofs | Wood Framed and Other,0,,0.039,
Walls Above Grade | Metal Building,0,,0.113,
Walls Above Grade | Metal Framed,0,,0.082,
Walls Above Grade | Mass Light,0,,0.278,
Walls Above Grade | Mass Heavy,0,,0.65,
Walls Above Grade | Wood Framed and Other,0,,0.11,
Floors | Mass,,,0.269,
Floors | Other,,,0.071,
Slab-On-Grade Floors | Unheated Slabs,,,0.73,
Slab-On-Grade Floors | Heated Slabs,,5,0.2,16
Opaque Doors | Non-Swinging,,,1.45,
Opaque Doors | Swinging,,,0.7,
,,,,
table:   Opaque Envelope Requirements | Climate Zone 4,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Metal Buildings,0,,0.065,
Roofs | Wood Framed and Other,0,,0.039,
Walls Above Grade | Metal Building,0,,0.061,
Walls Above Grade | Metal Framed,0,,0.062,
Walls Above Grade | Mass Light,0,,0.227,
Walls Above Grade | Mass Heavy,0,,0.65,
Walls Above Grade | Wood Framed and Other,0,,0.059,
Floors | Mass,,,0.269,
Floors | Other,,,0.071,
Slab-On-Grade Floors | Unheated Slabs,,,0.73,
Slab-On-Grade Floors | Heated Slabs,,5,0.2,16
Opaque Doors | Non-Swinging,,,1.45,
Opaque Doors | Swinging,,,0.7,
,,,,
table:   Opaque Envelope Requirements | Climate Zone 5,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Metal Buildings,0,,0.065,
Roofs | Wood Framed and Other,0,,0.049,
Walls Above Grade | Metal Building,0,,0.061,
Walls Above Grade | Metal Framed,0,,0.062,
Walls Above Grade | Mass Light,0,,0.44,
Walls Above Grade | Mass Heavy,0,,0.65,
Walls Above Grade | Wood Framed and Other,0,,0.102,
Floors | Mass,,,0.269,
Floors | Other,,,0.071,
Slab-On-Grade Floors | Unheated Slabs,,,0.73,
Slab-On-Grade Floors | Heated Slabs,,5,0.2,16
Opaque Doors | Non-Swinging,,,1.45,
Opaque Doors | Swinging,,,0.7,
,,,,
table:   Opaque Envelope Requirements | Climate Zone 6,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Metal Buildings,0,,0.065,
Roofs | Wood Framed and Other,0,,0.075,
Walls Above Grade | Metal Building,0,,0.113,
Walls Above Grade | Metal Framed,0,,0.098,
Walls Above Grade | Mass Light,0,,0.44,
Walls Above Grade | Mass Heavy,0,,0.69,
Walls Above Grade | Wood Framed and Other,0,,0.11,
Floors | Mass,,,0.269,
Floors | Other,,,0.071,
Slab-On-Grade Floors | Unheated Slabs,,,0.73,
Slab-On-Grade Floors | Heated Slabs,,5,0.2,16
Opaque Doors | Non-Swinging,,,1.45,
Opaque Doors | Swinging,,,0.7,
,,,,
table:   Opaque Envelope Requirements | Climate Zone 7,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Metal Buildings,0,,0.065,
Roofs | Wood Framed and Other,0,,0.067,
Walls Above Grade | Metal Building,0,,0.113,
Walls Above Grade | Metal Framed,0,,0.098,
Walls Above Grade | Mass Light,0,,0.44,
Walls Above Grade | Mass Heavy,0,,0.69,
Walls Above Grade | Wood Framed and Other,0,,0.11,
Floors | Mass,,,0.269,
Floors | Other,,,0.071,
Slab-On-Grade Floors | Unheated Slabs,,,0.73,
Slab-On-Grade Floors | Heated Slabs,,5,0.2,16
Opaque Doors | Non-Swinging,,,1.45,
Opaque Doors | Swinging,,,0.7,
,,,,
table:   Opaque Envelope Requirements | Climate Zone 8,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Metal Buildings,0,,0.065,
Roofs | Wood Framed and Other,0,,0.067,
Walls Above Grade | Metal Building,0,,0.061,
Walls Above Grade | Metal Framed,0,,0.062,
Walls Above Grade | Mass Light,0,,0.44,
Walls Above Grade | Mass Heavy,0,,0.69,
Walls Above Grade | Wood Framed and Other,0,,0.102,
Floors | Mass,,,0.269,
Floors | Other,,,0.071,
Slab-On-Grade Floors | Unheated Slabs,,,0.73,
Slab-On-Grade Floors | Heated Slabs,,5,0.2,16
Opaque Doors | Non-Swinging,,,1.45,
Opaque Doors | Swinging,,,0.7,
,,,,
table:   Opaque Envelope Requirements | Climate Zone 9,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Metal Buildings,0,,0.065,
Roofs | Wood Framed and Other,0,,0.039,
Walls Above Grade | Metal Building,0,,0.061,
Walls Above Grade | Metal Framed,0,,0.062,
Walls Above Grade | Mass Light,0,,0.44,
Walls Above Grade | Mass Heavy,0,,0.69,
Walls Above Grade | Wood Framed and Other,0,,0.059,
Floors | Mass,,,0.269,
Floors | Other,,,0.071,
Slab-On-Grade Floors | Unheated Slabs,,,0.73,
Slab-On-Grade Floors | Heated Slabs,,5,0.2,16
Opaque Doors | Non-Swinging,,,1.45,
Opaque Doors | Swinging,,,0.7,
,,,,
table:   Opaque Envelope Requirements | Climate Zone 10,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Metal Buildings,0,,0.065,
Roofs | Wood Framed and Other,0,,0.039,
Walls Above Grade | Metal Building,0,,0.061,
Walls Above Grade | Metal Framed,0,,0.062,
Walls Above Grade | Mass Light,0,,0.17,
Walls Above Grade | Mass Heavy,0,,0.65,
Walls Above Grade | Wood Framed and Other,0,,0.059,
Floors | Mass,,,0.269,
Floors | Other,,,0.071,
Slab-On-Grade Floors | Unheated Slabs,,,0.73,
Slab-On-Grade Floors | Heated Slabs,,5,0.2,16
Opaque Doors | Non-Swinging,,,1.45,
Opaque Doors | Swinging,,,0.7,
,,,,
table:   Opaque Envelope Requirements | Climate Zone 11,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Metal Buildings,0,,0.065,
Roofs | Wood Framed and Other,0,,0.039,
Walls Above Grade | Metal Building,0,,0.061,
Walls Above Grade | Metal Framed,0,,0.062,
Walls Above Grade | Mass Light,0,,0.17,
Walls Above Grade | Mass Heavy,0,,0.184,
Walls Above Grade | Wood Framed and Other,0,,0.059,
Floors | Mass,,,0.092,
Floors | Other,,,0.039,
Slab-On-Grade Floors | Unheated Slabs,,,0.73,
Slab-On-Grade Floors | Heated Slabs,,5,0.2,16
Opaque Doors | Non-Swinging,,,1.45,
Opaque Doors | Swinging,,,0.7,
,,,,
table:   Opaque Envelope Requirements | Climate Zone 12,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Metal Buildings,0,,0.065,
Roofs | Wood Framed and Other,0,,0.039,
Walls Above Grade | Metal Building,0,,0.061,
Walls Above Grade | Metal Framed,0,,0.062,
Walls Above Grade | Mass Light,0,,0.17,
Walls Above Grade | Mass Heavy,0,,0.253,
Walls Above Grade | Wood Framed and Other,0,,0.059,
Floors | Mass,,,0.092,
Floors | Other,,,0.071,
Slab-On-Grade Floors | Unheated Slabs,,,0.73,
Slab-On-Grade Floors | Heated Slabs,,5,0.2,16
Opaque Doors | Non-Swinging,,,1.45,
Opaque Doors | Swinging,,,0.7,
,,,,
table:   Opaque Envelope Requirements | Climate Zone 13,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Metal Buildings,0,,0.065,
Roofs | Wood Framed and Other,0,,0.039,
Walls Above Grade | Metal Building,0,,0.061,
Walls Above Grade | Metal Framed,0,,0.062,
Walls Above Grade | Mass Light,0,,0.17,
Walls Above Grade | Mass Heavy,0,,0.211,
Walls Above Grade | Wood Framed and Other,0,,0.059,
Floors | Mass,,,0.092,
Floors | Other,,,0.071,
Slab-On-Grade Floors | Unheated Slabs,,,0.73,
Slab-On-Grade Floors | Heated Slabs,,5,0.2,16
Opaque Doors | Non-Swinging,,,1.45,
Opaque Doors | Swinging,,,0.7,
,,,,
table:   Opaque Envelope Requirements | Climate Zone 14,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Metal Buildings,0,,0.065,
Roofs | Wood Framed and Other,0,,0.039,
Walls Above Grade | Metal Building,0,,0.061,
Walls Above Grade | Metal Framed,0,,0.062,
Walls Above Grade | Mass Light,0,,0.17,
Walls Above Grade | Mass Heavy,0,,0.184,
Walls Above Grade | Wood Framed and Other,0,,0.059,
Floors | Mass,,,0.092,
Floors | Other,,,0.039,
Slab-On-Grade Floors | Unheated Slabs,,,0.73,
Slab-On-Grade Floors | Heated Slabs,,5,0.2,16
Opaque Doors | Non-Swinging,,,1.45,
Opaque Doors | Swinging,,,0.7,
,,,,
table:   Opaque Envelope Requirements | Climate Zone 15,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Metal Buildings,0,,0.065,
Roofs | Wood Framed and Other,0,,0.039,
Walls Above Grade | Metal Building,0,,0.057,
Walls Above Grade | Metal Framed,0,,0.062,
Walls Above Grade | Mass Light,0,,0.17,
Walls Above Grade | Mass Heavy,0,,0.184,
Walls Above Grade | Wood Framed and Other,0,,0.042,
Floors | Mass,,,0.092,
Floors | Other,,,0.039,
Slab-On-Grade Floors | Unheated Slabs,,,0.73,
Slab-On-Grade Floors | Heated Slabs,,5,0.2,16
Opaque Doors | Non-Swinging,,,1.45,
Opaque Doors | Swinging,,,0.7,
,,,,
table:   Opaque Envelope Requirements | Climate Zone 16,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Metal Buildings,0,,0.065,
Roofs | Wood Framed and Other,0,,0.039,
Walls Above Grade | Metal Building,0,,0.061,
Walls Above Grade | Metal Framed,0,,0.062,
Walls Above Grade | Mass Light,0,,0.17,
Walls Above Grade | Mass Heavy,0,,0.16,
Walls Above Grade | Wood Framed and Other,0,,0.059,
Floors | Mass,,,0.058,
Floors | Other,,,0.039,
Slab-On-Grade Floors | Unheated Slabs,,,0.73,
Slab-On-Grade Floors | Heated Slabs,,5,0.2,16
Opaque Doors | Non-Swinging,,,1.45,
Opaque Doors | Swinging,,,0.7,
,,,,
table: Fenestration Requirements | Climate Zone 1,max,max,min,
Fenestration Component,U-Factor,SHGC,VT,
Fixed Window,0.36,0.25,0.42,
Operable Window,0.46,0.22,0.32,
Curtainwall or Storefront,0.41,0.26,0.46,
Glazed Doors,0.45,0.23,0.17,
"Skylights | Glass, curb mounted",0.58,0.25,0.49,
"Skylights | Glass, deck mounted",0.46,0.25,0.49,
"Skylights | Plastic, curb mounted",0.88,,0.64,
Skylights | Tubular Daylighting Devices (TDDs),0.88,,0.64,
,,,,
table: Fenestration Requirements | Climate Zone 2,max,max,min,
Fenestration Component,U-Factor,SHGC,VT,
Fixed Window,0.36,0.25,0.42,
Operable Window,0.46,0.22,0.32,
Curtainwall or Storefront,0.41,0.26,0.46,
Glazed Doors,0.45,0.23,0.17,
"Skylights | Glass, curb mounted",0.58,0.25,0.49,
"Skylights | Glass, deck mounted",0.46,0.25,0.49,
"Skylights | Plastic, curb mounted",0.88,,0.64,
Skylights | Tubular Daylighting Devices (TDDs),0.88,,0.64,
,,,,
table: Fenestration Requirements | Climate Zone 3,max,max,min,
Fenestration Component,U-Factor,SHGC,VT,
Fixed Window,0.36,0.25,0.42,
Operable Window,0.46,0.22,0.32,
Curtainwall or Storefront,0.41,0.26,0.46,
Glazed Doors,0.45,0.23,0.17,
"Skylights | Glass, curb mounted",0.58,0.25,0.49,
"Skylights | Glass, deck mounted",0.46,0.25,0.49,
"Skylights | Plastic, curb mounted",0.88,,0.64,
Skylights | Tubular Daylighting Devices (TDDs),0.88,,0.64,
,,,,
table: Fenestration Requirements | Climate Zone 4,max,max,min,
Fenestration Component,U-Factor,SHGC,VT,
Fixed Window,0.36,0.25,0.42,
Operable Window,0.46,0.22,0.32,
Curtainwall or Storefront,0.41,0.26,0.46,
Glazed Doors,0.45,0.23,0.17,
"Skylights | Glass, curb mounted",0.58,0.25,0.49,
"Skylights | Glass, deck mounted",0.46,0.25,0.49,
"Skylights | Plastic, curb mounted",0.88,,0.64,
Skylights | Tubular Daylighting Devices (TDDs),0.88,,0.64,
,,,,
table: Fenestration Requirements | Climate Zone 5,max,max,min,
Fenestration Component,U-Factor,SHGC,VT,
Fixed Window,0.36,0.25,0.42,
Operable Window,0.46,0.22,0.32,
Curtainwall or Storefront,0.41,0.26,0.46,
Glazed Doors,0.45,0.23,0.17,
"Skylights | Glass, curb mounted",0.58,0.25,0.49,
"Skylights | Glass, deck mounted",0.46,0.25,0.49,
"Skylights | Plastic, curb mounted",0.88,,0.64,
Skylights | Tubular Daylighting Devices (TDDs),0.88,,0.64,
,,,,
table: Fenestration Requirements | Climate Zone 6,max,max,min,
Fenestration Component,U-Factor,SHGC,VT,
Fixed Window,0.36,0.25,0.42,
Operable Window,0.46,0.22,0.32,
Curtainwall or Storefront,0.41,0.26,0.46,
Glazed Doors,0.45,0.23,0.17,
"Skylights | Glass, curb mounted",0.58,0.25,0.49,
"Skylights | Glass, deck mounted",0.46,0.25,0.49,
"Skylights | Plastic, curb mounted",0.88,,0.64,
Skylights | Tubular Daylighting Devices (TDDs),0.88,,0.64,
,,,,
table: Fenestration Requirements | Climate Zone 7,max,max,min,
Fenestration Component,U-Factor,SHGC,VT,
Fixed Window,0.36,0.25,0.42,
Operable Window,0.46,0.22,0.32,
Curtainwall or Storefront,0.41,0.26,0.46,
Glazed Doors,0.45,0.23,0.17,
"Skylights | Glass, curb mounted",0.58,0.25,0.49,
"Skylights | Glass, deck mounted",0.46,0.25,0.49,
"Skylights | Plastic, curb mounted",0.88,,0.64,
Skylights | Tubular Daylighting Devices (TDDs),0.88,,0.64,
,,,,
table: Fenestration Requirements | Climate Zone 8,max,max,min,
Fenestration Component,U-Factor,SHGC,VT,
Fixed Window,0.36,0.25,0.42,
Operable Window,0.46,0.22,0.32,
Curtainwall or Storefront,0.41,0.26,0.46,
Glazed Doors,0.45,0.23,0.17,
"Skylights | Glass, curb mounted",0.58,0.25,0.49,
"Skylights | Glass, deck mounted",0.46,0.25,0.49,
"Skylights | Plastic, curb mounted",0.88,,0.64,
Skylights | Tubular Daylighting Devices (TDDs),0.88,,0.64,
,,,,
table: Fenestration Requirements | Climate Zone 9,max,max,min,
Fenestration Component,U-Factor,SHGC,VT,
Fixed Window,0.36,0.25,0.42,
Operable Window,0.46,0.22,0.32,
Curtainwall or Storefront,0.41,0.26,0.46,
Glazed Doors,0.45,0.23,0.17,
"Skylights | Glass, curb mounted",0.58,0.25,0.49,
"Skylights | Glass, deck mounted",0.46,0.25,0.49,
"Skylights | Plastic, curb mounted",0.88,,0.64,
Skylights | Tubular Daylighting Devices (TDDs),0.88,,0.64,
,,,,
table: Fenestration Requirements | Climate Zone 10,max,max,min,
Fenestration Component,U-Factor,SHGC,VT,
Fixed Window,0.36,0.25,0.42,
Operable Window,0.46,0.22,0.32,
Curtainwall or Storefront,0.41,0.26,0.46,
Glazed Doors,0.45,0.23,0.17,
"Skylights | Glass, curb mounted",0.58,0.25,0.49,
"Skylights | Glass, deck mounted",0.46,0.25,0.49,
"Skylights | Plastic, curb mounted",0.88,,0.64,
Skylights | Tubular Daylighting Devices (TDDs),0.88,,0.64,
,,,,
table: Fenestration Requirements | Climate Zone 11,max,max,min,
Fenestration Component,U-Factor,SHGC,VT,
Fixed Window,0.36,0.25,0.42,
Operable Window,0.46,0.22,0.32,
Curtainwall or Storefront,0.41,0.26,0.46,
Glazed Doors,0.45,0.23,0.17,
"Skylights | Glass, curb mounted",0.58,0.25,0.49,
"Skylights | Glass, deck mounted",0.46,0.25,0.49,
"Skylights | Plastic, curb mounted",0.88,,0.64,
Skylights | Tubular Daylighting Devices (TDDs),0.88,,0.64,
,,,,
table: Fenestration Requirements | Climate Zone 12,max,max,min,
Fenestration Component,U-Factor,SHGC,VT,
Fixed Window,0.36,0.25,0.42,
Operable Window,0.46,0.22,0.32,
Curtainwall or Storefront,0.41,0.26,0.46,
Glazed Doors,0.45,0.23,0.17,
"Skylights | Glass, curb mounted",0.58,0.25,0.49,
"Skylights | Glass, deck mounted",0.46,0.25,0.49,
"Skylights | Plastic, curb mounted",0.88,,0.64,
Skylights | Tubular Daylighting Devices (TDDs),0.88,,0.64,
,,,,
table: Fenestration Requirements | Climate Zone 13,max,max,min,
Fenestration Component,U-Factor,SHGC,VT,
Fixed Window,0.36,0.25,0.42,
Operable Window,0.46,0.22,0.32,
Curtainwall or Storefront,0.41,0.26,0.46,
Glazed Doors,0.45,0.23,0.17,
"Skylights | Glass, curb mounted",0.58,0.25,0.49,
"Skylights | Glass, deck mounted",0.46,0.25,0.49,
"Skylights | Plastic, curb mounted",0.88,,0.64,
Skylights | Tubular Daylighting Devices (TDDs),0.88,,0.64,
,,,,
table: Fenestration Requirements | Climate Zone 14,max,max,min,
Fenestration Component,U-Factor,SHGC,VT,
Fixed Window,0.36,0.25,0.42,
Operable Window,0.46,0.22,0.32,
Curtainwall or Storefront,0.41,0.26,0.46,
Glazed Doors,0.45,0.23,0.17,
"Skylights | Glass, curb mounted",0.58,0.25,0.49,
"Skylights | Glass, deck mounted",0.46,0.25,0.49,
"Skylights | Plastic, curb mounted",0.88,,0.64,
Skylights | Tubular Daylighting Devices (TDDs),0.88,,0.64,
,,,,
table: Fenestration Requirements | Climate Zone 15,max,max,min,
Fenestration Component,U-Factor,SHGC,VT,
Fixed Window,0.36,0.25,0.42,
Operable Window,0.46,0.22,0.32,
Curtainwall or Storefront,0.41,0.26,0.46,
Glazed Doors,0.45,0.23,0.17,
"Skylights | Glass, curb mounted",0.58,0.25,0.49,
"Skylights | Glass, deck mounted",0.46,0.25,0.49,
"Skylights | Plastic, curb mounted",0.88,,0.64,
Skylights | Tubular Daylighting Devices (TDDs),0.88,,0.64,
,,,,
table: Fenestration Requirements | Climate Zone 16,max,max,min,
Fenestration Component,U-Factor,SHGC,VT,
Fixed Window,0.36,0.25,0.42,
Operable Window,0.46,0.22,0.32,
Curtainwall or Storefront,0.41,0.26,0.46,
Glazed Doors,0.45,0.23,0.17,
"Skylights | Glass, curb mounted",0.58,0.25,0.49,
"Skylights | Glass, deck mounted",0.46,0.25,0.49,
"Skylights | Plastic, curb mounted",0.88,,0.64,
Skylights | Tubular Daylighting Devices (TDDs),0.88,,0.64,
,,,,
table: Heat Rejection Parameters | Climate Zone 1,,,,
parameter,value,,,
cw_wetbulb_design,20.01,,,
cw_design_temp,22.33,,,
cw_approach,5.56,,,
,,,,
table: Heat Rejection Parameters | Climate Zone 2,,,,
parameter,value,,,
cw_wetbulb_design,22.11,,,
cw_design_temp,27.67,,,
cw_approach,5.56,,,
,,,,
table: Heat Rejection Parameters | Climate Zone 3,,,,
parameter,value,,,
cw_wetbulb_design,20.01,,,
cw_design_temp,25.17,,,
cw_approach,5.56,,,
,,,,
table: Heat Rejection Parameters | Climate Zone 4,,,,
parameter,value,,,
cw_wetbulb_design,22.61,,,
cw_design_temp,28.17,,,
cw_approach,5.56,,,
,,,,
table: Heat Rejection Parameters | Climate Zone 5,,,,
parameter,value,,,
cw_wetbulb_design,20.22,,,
cw_design_temp,25.78,,,
cw_approach,5.56,,,
,,,,
table: Heat Rejection Parameters | Climate Zone 6,,,,
parameter,value,,,
cw_wetbulb_design,23.78,,,
cw_design_temp,29.33,,,
cw_approach,5.56,,,
,,,,
table: Heat Rejection Parameters | Climate Zone 7,,,,
parameter,value,,,
cw_wetbulb_design,21.22,,,
cw_design_temp,26.78,,,
cw_approach,5.56,,,
,,,,
table: Heat Rejection Parameters | Climate Zone 8,,,,
parameter,value,,,
cw_wetbulb_design,21.5,,,
cw_design_temp,27.06,,,
cw_approach,5.56,,,
,,,,
table: Heat Rejection Parameters | Climate Zone 9,,,,
parameter,value,,,
cw_wetbulb_design,23.72,,,
cw_design_temp,29.28,,,
cw_approach,5.56,,,
,,,,
table: Heat Rejection Parameters | Climate Zone 10,,,,
parameter,value,,,
cw_wetbulb_design,21.61,,,
cw_design_temp,27.17,,,
cw_approach,5.56,,,
,,,,
table: Heat Rejection Parameters | Climate Zone 11,,,,
parameter,value,,,
cw_wetbulb_design,22.61,,,
cw_design_temp,28.17,,,
cw_approach,5.56,,,
,,,,
table: Heat Rejection Parameters | Climate Zone 12,,,,
parameter,value,,,
cw_wetbulb_design,22.11,,,
cw_design_temp,27.67,,,
cw_approach,5.56,,,
,,,,
table: Heat Rejection Parameters | Climate Zone 13,,,,
parameter,value,,,
cw_wetbulb_design,22,,,
cw_design_temp,27.56,,,
cw_approach,5.56,,,
,,,,
table: Heat Rejection Parameters | Climate Zone 14,,,,
parameter,value,,,
cw_wetbulb_design,20.89,,,
cw_design_temp,26.44,,,
cw_approach,5.56,,,
,,,,
table: Heat Rejection Parameters | Climate Zone 15,,,,
parameter,value,,,
cw_wetbulb_design,24.11,,,
cw_design_temp,29.44,,,
cw_approach,5.33,,,
,,,,
table: Heat Rejection Parameters | Climate Zone 16,,,,
parameter,value,,,
cw_wetbulb_design,20.01,,,
cw_design_temp,21.67,,,
cw_approach,5.56,,,
,,,,
table: Lighting Power Density,,,,
space,LPD,,,
auditorium,1.5,,,
bank,1.4,,,
classroom_shop,1.2,,,
computer,0.8,,,
classroom_class,1.2,,,
conference,1.4,,,
corridor,0.6,,,
dining_fine,1.1,,,
dining_fast,1.1,,,
exhibit,2,,,
grocery,1.2,,,
guestroom,0.5,,,
gym,1,,,
health_operating,1.2,,,
health_patient,1.2,,,
industrial_high,1,,,
industrial_low,0.9,,,
kitchen,1.6,,,
lab,1.4,,,
laundry,0.9,,,
lobby,1.5,,,
mech,0.7,,,
office_large,0.75,,,
office_small,1,,,
office_open,0.75,,,
plenum,0,,,
restroom,0.6,,,
retail_sales,1.2,,,
storage_refrig,0.7,,,
storage_warehouse,0.6,,,
auto,0.9,,,
,,,,
table:   Economizer Setpoints,,,,
Climate Zone,Fixed Drybulb,Differential Dry-bulb,,
1,75,0,,
2,73,2,,
3,75,0,,
4,73,2,,
5,75,0,,
6,71,4,,
7,69,6,,
8,71,4,,
9,71,4,,
10,73,2,,
11,75,0,,
12,75,0,,
13,75,0,,
14,75,0,,
15,75,0,,
16,75,0,,
